date,close,high,low,open,volume,SMA10,SMA20,SMA50,SMA10_pct,SMA20_pct,SMA50_pct,daily_return,price_vs_SMA10,price_vs_SMA20,price_vs_SMA50,volatility_10,volatility_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,future_return_10d,target_11pct,symbol
2025-05-08,197.00778198242188,199.56152863729463,194.20463054641704,197.2372161152265,50478900,197.00778198242188,197.00778198242188,197.00778198242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020932914944053582,0,AAPL
2025-05-09,198.0452423095703,200.0503289543839,197.05765414160055,198.51409591462888,36453900,197.5265121459961,197.5265121459961,197.5265121459961,0.002633044026760789,0.002633044026760789,0.002633044026760789,0.0052660880535218,0.0026261293126606422,0.0026261293126606422,0.0026261293126606422,0.0037236865729707315,0.0037236865729707315,0.0,0.0,0.0,0.0,-0.015130872396091122,0,AAPL
2025-05-12,210.55104064941406,211.03050749278242,206.5156271207593,210.7308445260501,63775800,201.8680216471354,201.8680216471354,201.8680216471354,0.021979376104866333,0.021979376104866333,0.021979376104866333,0.06314616899655467,0.04301334570691212,0.04301334570691212,0.04301334570691212,0.03503634806002885,0.03503634806002885,0.0052660880535218,0.0,0.0,0.0,-0.05019207281743687,0,AAPL
2025-05-13,212.68861389160156,213.1580823159532,208.76307628033234,210.19144790738707,51909300,204.57316970825195,204.57316970825195,204.57316970825195,0.013400577461670116,0.013400577461670116,0.013400577461670116,0.010152280585241868,0.03967012973853459,0.03967012973853459,0.03967012973853459,0.029298137028074718,0.029298137028074718,0.06314616899655467,0.0052660880535218,0.0,0.0,-0.05875170684108866,0,AAPL
2025-05-14,212.08929443359375,213.69746987061376,210.34127831689767,212.18917192393894,49325800,206.0763946533203,206.0763946533203,206.0763946533203,0.007348104090151075,0.007348104090151075,0.007348104090151075,-0.0028178257737542234,0.029178013281865048,0.029178013281865048,0.029178013281865048,0.02728858009284212,0.02728858009284212,0.010152280585241868,0.06314616899655467,0.0052660880535218,0.0,-0.058305473785933315,0,AAPL
2025-05-15,211.21029663085938,212.71859464512332,209.30245815432872,210.71086343228015,45029500,206.93204498291016,206.93204498291016,206.93204498291016,0.004152102578411698,0.004152102578411698,0.004152102578411698,-0.004144470399044975,0.020674669543339918,0.020674669543339918,0.020674669543339918,0.025647127545389347,0.025647127545389347,-0.0028178257737542234,0.010152280585241868,0.06314616899655467,0.0,-0.05013004738229887,0,AAPL
2025-05-16,211.0205078125,212.32903558469047,209.53220664773164,212.11926693678467,54737900,207.51611110142298,207.51611110142298,207.51611110142298,0.0028225020371352993,0.0028225020371352993,0.0028225020371352993,-0.0008985774907133148,0.01688734764966878,0.01688734764966878,0.01688734764966878,0.02390961922096309,0.02390961922096309,-0.004144470399044975,-0.0028178257737542234,0.010152280585241868,0.0052660880535218,-0.04525230233472943,0,AAPL
2025-05-19,208.54331970214844,209.24252311349682,204.02843943795537,207.67431083672193,46140500,207.64451217651367,207.64451217651367,207.64451217651367,0.0006187523195628764,0.0006187523195628764,0.0006187523195628764,-0.01173908704907789,0.004328587913128716,0.004328587913128716,0.004328587913128716,0.023444057608891816,0.023444057608891816,-0.0008985774907133148,-0.004144470399044975,-0.0028178257737542234,0.06314616899655467,-0.026391416756816333,0,AAPL
2025-05-20,206.62550354003906,208.2336790492342,204.79757620413463,207.4345828831543,42496600,207.53128899468317,207.53128899468317,207.53128899468317,-0.000545274135317686,-0.000545274135317686,-0.000545274135317686,-0.00919624836148425,-0.004364572971294508,-0.004364572971294508,-0.004364572971294508,0.022614516621992885,0.022614516621992885,-0.01173908704907789,-0.0008985774907133148,-0.004144470399044975,0.010152280585241868,-0.019530094689555577,0,AAPL
2025-05-21,201.86090087890625,206.80528635778637,200.4824756537251,204.93741112479617,59211800,206.96425018310546,206.96425018310546,206.96425018310546,-0.0027323051590173453,-0.0027323051590173453,-0.0027323051590173453,-0.023059121838798324,-0.024658119939478324,-0.024658119939478324,-0.024658119939478324,0.02315869272402247,0.02315869272402247,-0.00919624836148425,-0.01173908704907789,-0.0008985774907133148,-0.0028178257737542234,-0.0072244215730769,0,AAPL
